Repository,Client,Server,All
numberOfFiles,32446,34495,66941
numberOfLogicalLines,5266006,4336685,9602691
numberOfPhysicalLines,5450351,4544190,9994541
numberOfStrictModeGlobal,2004,5085,7089
numberOfStrictModeLocal,14010,5796,19806
numberOfWindowOnError,43,6,49
numberOfWindowOnErrorLines,304,20,324
numberOfWindowOnErrorEmptyHandler,11,0,11
numberOfWindowOnErrorUniqueStatement,7,0,7
numberOfWindowOnErrorUniqueConsole,0,0,0
numberOfWindowAddEventListener,1,2,3
numberOfWindowAddEventListenerLines,12,0,12
numberOfWindowAddEventListenerEmptyHandler,0,0,0
numberOfWindowAddEventListenerUniqueStatement,0,0,0
numberOfWindowAddEventListenerUniqueConsole,0,0,0
numberOfElementOnError,0,0,0
numberOfElementOnErrorLines,0,0,0
numberOfElementOnErrorEmptyHandler,0,0,0
numberOfElementOnErrorUniqueStatement,0,0,0
numberOfElementOnErrorUniqueConsole,0,0,0
tryCatchNumberOfTries,27721,19023,46744
tryCatchNumberOfEmptyTries,11,12,23
tryCatchNumberOfTriesLines,121739,84047,205786
tryCatchNumberOfTriesWithUniqueStatement,15195,10503,25698
tryCatchNumberOfCatches,26545,18115,44660
tryCatchNumberOfEmptyCatches,15055,9323,24378
tryCatchNumberOfCatchesLines,60352,37431,97783
tryCatchNumberOfCatchesWithUniqueConsole,150,128,278
tryCatchNumberOfCatchesWithUniqueStatement,15867,11526,27393
tryCatchNumberOfContinuesOnCatches,11,10,21
tryCatchNumberOfThrowErrorsOnCatches,3479,2108,5587
tryCatchNumberOfRethrowsOnCatches,2628,1383,4011
tryCatchNumberOfThrows,1892,1350,3242
tryCatchNumberOfThrowsLiteral,9,75,84
tryCatchNumberOfThrowsErrorObjects,346,124,470
tryCatchNumberOfThrowPrimitiveTypesOnCatches,4,15,19
tryCatchNumberOfReturnsOnCatches,7037,5464,12501
tryCatchNumberOfReturnsAnErrorOnCatches,614,1075,1689
tryCatchNumberOfBreaksOnCatches,60,89,149
tryCatchNumberOfBreaksOnCatchesUniqueStatement,6,1,7
tryCatchNumberOfFinallies,2512,1830,4342
tryCatchNumberOfFinalliesLines,7732,4878,12610
promiseNumberOfPromises,2565,2776,5341
promiseNumberOfResolves,4014,3100,7114
promiseNumberOfRejects,1410,758,2168
promiseNumberOfPromiseThens,7111,8583,15694
promiseNumberOfPromiseThenFulfilledLines,34634,44117,78751
promiseNumberOfPromiseThenRejectedLines,2861,1468,4329
promiseNumberOfPromiseCatches,526,1399,1925
promiseNumberOfPromiseCatchesLines,1227,1637,2864
promiseNumberOfEmptyFunctionsOnPromiseCatches,147,45,192
promiseNumberOfCatchesWithUniqueConsole,25,17,42
promiseNumberOfCatchesWithUniqueStatement,156,157,313
promiseNumberOfThrowErrorsOnCatches,28,34,62
promiseNumberOfRethrowsOnCatches,22,27,49
promiseNumberOfThrowPrimitiveTypesOnCatches,3,0,3
promiseNumberOfReturnsOnCatches,86,94,180
promiseNumberOfReturnsAnErrorOnCatches,32,43,75
promiseNumberOfBreaksOnCatches,0,0,0
promiseNumberOfChainingCatches,43,100,143
promiseNumberOfNonCaughtPromises,2155,1151,3306
promiseNumberOfPromiseRaces,3,20,23
promiseNumberOfPromiseAll,317,233,550
asyncAwaitNumberOfAsyncs,0,0,0
asyncAwaitNumberOfAwaits,0,0,0
asyncAwaitNumberOfTries,0,0,0
asyncAwaitNumberOfTriesLines,0,0,0
asyncAwaitNumberOfCatches,0,0,0
asyncAwaitNumberOfEmptyCatches,0,0,0
asyncAwaitNumberOfCatchesLines,0,0,0
asyncAwaitNumberOfCatchesWithUniqueConsole,0,0,0
asyncAwaitNumberOfCatchesWithUniqueStatement,0,0,0
asyncAwaitNumberOfCatchesThrowError,0,0,0
asyncAwaitNumberOfAwaitErrorArgsOnCatches,0,0,0
asyncAwaitNumberOfCatchesRethrowError,0,0,0
asyncAwaitNumberOfThrowErrorsOnCatches,0,0,0
asyncAwaitNumberOfThrowPrimitiveTypesOnCatches,0,0,0
asyncAwaitNumberOfRethrowsOnCatches,0,0,0
asyncAwaitNumberOfReturnsOnCatches,0,0,0
asyncAwaitNumberOfReturnsAnErrorOnCatches,0,0,0
asyncAwaitNumberOfBreaksOnCatches,0,0,0
asyncAwaitNumberOfBreaksOnCatchesUniqueStatement,0,0,0
asyncAwaitNumberOfFinallies,0,0,0
asyncAwaitNumberOfFinalliesLines,0,0,0
eventsNumberOfEventMethodsOn,119,505,624
eventsNumberOfEventMethodsOnce,8,49,57
eventsNumberOfEventMethodsEmit,122,402,524
eventsNumberOfEventOnLines,602,1260,1862
eventsNumberOfEventOnEmptyFunctions,15,90,105
eventsNumberOfEventOnWithUniqueConsole,0,0,0
eventsNumberOfEventOnWithUniqueStatement,0,0,0
eventsNumberOfEventOnceLines,34,249,283
eventsNumberOfEventOnceEmptyFunctions,0,4,4
eventsNumberOfEventOnceWithUniqueConsole,0,0,0
eventsNumberOfEventOnceWithUniqueStatement,0,0,0
eventsNumberOfEventEmitLines,3,20,23
eventsNumberOfThrowErrorsOnCatches,27,24,51
eventsNumberOfThrowPrimitiveTypesOnCatches,0,0,0
eventsNumberOfReturnsOnCatches,4,51,55
eventsNumberOfReturnsAnErrorOnCatches,1,35,36
eventsNumberOfBreaksOnCatches,0,0,0
eventsNumberOfRethrowsOnCatches,27,23,50
eventsNumberOfEventUncaughtException,13,63,76
eventsNumberOfEventUnhandledRejection,3,2,5
eventsTotalOfStringEvents,6037,9762,15799
eventsTotalOfEventsExceptStringType,1332,417,1749
callbacksNumberOfCallbackErrorFunctions,17915,24457,42372
callbacksNumberOfFirstErrorArgFunctions,12700,21214,33914
callbacksNumberOfEmptyCallbacks,1894,2096,3990
callbacksNumberOfFunctionsWithUniqueConsole,155,183,338
callbacksNumberOfFunctionsWithUniqueStatement,4716,7084,11800
callbacksNumberOfFunctionsWithUniqueErrorArg,8582,9128,17710
callbacksNumberOfEmptyFunctionsWithUniqueErrorArg,631,394,1025
callbacksNumberOfFunctionsWithUniqueErrorArgWithUniqueConsole,124,116,240
callbacksNumberOfFunctionsWithUniqueErrorArgWithUniqueStatement,2605,1987,4592
callbacksNumberOfLinesOfFunctionsWithUniqueErrorArg,89636,70582,160218
callbacksNumberOfReturnsOnCatches,27283,18370,45653
callbacksNumberOfReturnsAnErrorOnCatches,8869,8375,17244
callbacksNumberOfBreaksOnCatches,7342,6108,13450
callbacksNumberOfLines,488426,288781,777207