,repo,alert,break,consoleLog,continue,count,empty,has_error_arguments,lines,noUsageOfErrorArg,reassigningError,rereturn,rethrow,returnErrorObject,returnLiteral,returnNull,returnUndefined,stmts,throwErrorObject,throwLiteral,throwNull,throwUndefined,Unnamed: 0,strict_global,strict_local,total_files,total_logical_lines,type
0,Chart.js.csv,0.0,1.0,0.0,0.0,30,1.0,30.0,277,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,131,0.0,0.0,0.0,0.0,36,True,False,30,27645,client
1,Faker.js.csv,0.0,5.0,5.0,1.0,662,57.0,662.0,1985,336.0,28.0,0.0,15.0,0.0,11.0,0.0,0.0,781,0.0,0.0,0.0,0.0,78,False,True,662,777454,server
2,Ghost.csv,0.0,0.0,0.0,0.0,843,2.0,825.0,5236,29.0,16.0,0.0,20.0,2.0,1.0,0.0,0.0,3016,1.0,0.0,0.0,0.0,62,True,False,843,72322,server
3,JavaScript-Garden.csv,0.0,2.0,0.0,2.0,7,0.0,7.0,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,64,False,False,7,2182,client
4,JavaScript-Koans.csv,0.0,3.0,0.0,0.0,64,25.0,64.0,179,12.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,71,0.0,0.0,0.0,0.0,3,False,False,65,6015,client
5,JavaScript-Load-Image.csv,0.0,6.0,5.0,0.0,258,56.0,258.0,1355,67.0,12.0,0.0,23.0,0.0,33.0,1.0,0.0,437,4.0,0.0,0.0,0.0,13,False,True,258,21148,client
6,JavaScript-MD5.csv,0.0,4.0,3.0,0.0,179,41.0,179.0,894,46.0,10.0,0.0,17.0,0.0,15.0,1.0,0.0,289,4.0,0.0,0.0,0.0,45,False,True,179,12382,server
7,MQTT.js.csv,0.0,0.0,3.0,0.0,82,0.0,64.0,204,22.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,102,0.0,0.0,0.0,0.0,89,True,False,82,4838,server
8,MagicMirror.csv,0.0,1.0,9.0,2.0,51,0.0,51.0,358,17.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0,99,0.0,0.0,0.0,0.0,38,True,True,51,7435,server
9,Modernizr.csv,0.0,0.0,0.0,0.0,273,76.0,273.0,322,112.0,24.0,0.0,6.0,0.0,63.0,0.0,0.0,237,6.0,0.0,0.0,0.0,79,True,True,273,12497,client
10,NodeBB.csv,0.0,15.0,18.0,2.0,3342,27.0,3341.0,20997,76.0,24.0,0.0,31.0,0.0,28.0,8.0,0.0,8968,0.0,4.0,0.0,0.0,54,True,True,3342,90503,server
11,OS.js.csv,7.0,1.0,6.0,0.0,753,73.0,738.0,4336,72.0,6.0,0.0,0.0,0.0,18.0,2.0,0.0,1171,1.0,0.0,0.0,0.0,39,True,True,753,36187,client
12,PapaParse.csv,0.0,2.0,3.0,0.0,61,0.0,61.0,350,2.0,3.0,0.0,4.0,0.0,2.0,0.0,0.0,122,0.0,0.0,0.0,0.0,18,True,True,61,6037,server
13,PhotoSwipe.csv,0.0,0.0,0.0,0.0,38,0.0,38.0,918,0.0,12.0,0.0,0.0,0.0,8.0,0.0,0.0,190,0.0,0.0,0.0,0.0,43,False,True,38,6061,client
14,Rocket.Chat.csv,2.0,11.0,83.0,4.0,1041,12.0,1038.0,8001,211.0,14.0,0.0,37.0,0.0,23.0,3.0,1.0,2340,24.0,1.0,0.0,0.0,5,True,True,1041,113737,client
15,RxJS.csv,0.0,0.0,16.0,0.0,225,1.0,218.0,207,178.0,3.0,0.0,13.0,0.0,2.0,0.0,0.0,101,7.0,0.0,0.0,0.0,12,True,True,225,14071,server
16,Semantic-UI.csv,0.0,0.0,3.0,0.0,120,28.0,120.0,462,26.0,23.0,0.0,8.0,0.0,15.0,0.0,0.0,166,2.0,0.0,0.0,0.0,77,True,True,120,54434,client
17,UglifyJS2.csv,0.0,0.0,45.0,0.0,229,7.0,228.0,772,56.0,1.0,0.0,46.0,0.0,8.0,1.0,0.0,455,1.0,8.0,0.0,0.0,74,True,True,229,35567,server
18,ajenti.csv,0.0,10.0,0.0,2.0,531,85.0,531.0,6276,82.0,34.0,0.0,5.0,0.0,7.0,6.0,0.0,755,0.0,0.0,0.0,0.0,41,False,True,531,23444,client
19,angular-starter.csv,0.0,0.0,1.0,0.0,2,0.0,2.0,7,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,10,False,False,2,836,client
20,angular-translate.csv,0.0,1.0,1.0,1.0,50,16.0,49.0,1260,6.0,1.0,0.0,0.0,0.0,19.0,1.0,0.0,125,5.0,1.0,0.0,0.0,40,True,True,50,8758,client
21,apidoc.csv,0.0,0.0,8.0,0.0,62,11.0,62.0,409,14.0,6.0,0.0,3.0,0.0,1.0,0.0,0.0,188,3.0,0.0,0.0,0.0,87,False,True,62,3973,server
22,atom.csv,0.0,2.0,7.0,2.0,319,34.0,312.0,1578,32.0,31.0,0.0,20.0,0.0,7.0,10.0,1.0,578,7.0,0.0,0.0,0.0,30,True,False,319,69100,server
23,ava.csv,0.0,1.0,0.0,0.0,167,2.0,167.0,751,2.0,1.0,0.0,15.0,0.0,3.0,5.0,0.0,437,1.0,0.0,0.0,0.0,53,True,False,167,14740,server
24,aws-sdk-js.csv,0.0,0.0,21.0,0.0,1499,84.0,1487.0,6387,371.0,259.0,0.0,69.0,0.0,116.0,5.0,0.0,2979,3.0,2.0,0.0,0.0,86,True,True,1499,443471,server
25,axios.csv,0.0,1.0,0.0,0.0,69,5.0,65.0,634,8.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,195,2.0,0.0,0.0,0.0,85,True,True,69,5576,server
26,babel.csv,0.0,1.0,2.0,0.0,140,3.0,140.0,633,22.0,24.0,0.0,30.0,0.0,9.0,2.0,0.0,247,2.0,0.0,0.0,0.0,11,True,True,140,44421,client
27,backbone.csv,0.0,4.0,0.0,2.0,181,37.0,178.0,2562,31.0,26.0,0.0,5.0,0.0,19.0,1.0,0.0,447,1.0,0.0,0.0,0.0,76,False,False,182,22147,client
28,bitcoinjs-lib.csv,0.0,0.0,0.0,0.0,46,6.0,46.0,621,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,198,1.0,0.0,0.0,0.0,20,True,False,46,6756,server
29,bluebird.csv,0.0,6.0,11.0,3.0,873,45.0,869.0,6304,146.0,21.0,0.0,34.0,1.0,39.0,4.0,0.0,1738,4.0,0.0,0.0,0.0,40,True,True,873,34252,server
30,bootstrap.csv,0.0,0.0,5.0,0.0,88,2.0,88.0,213,15.0,1.0,0.0,1.0,0.0,0.0,11.0,0.0,140,2.0,0.0,0.0,0.0,49,False,True,88,15031,client
31,brackets.csv,0.0,25.0,94.0,1.0,2461,488.0,2459.0,13035,614.0,199.0,0.0,21.0,0.0,78.0,3.0,3.0,4001,3.0,2.0,0.0,0.0,46,True,True,2463,304921,client
32,card.csv,0.0,0.0,0.0,2.0,56,0.0,56.0,640,2.0,18.0,0.0,0.0,0.0,2.0,0.0,0.0,262,0.0,0.0,0.0,0.0,70,False,True,56,3625,client
33,cheerio.csv,0.0,0.0,1.0,0.0,5,1.0,4.0,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,22,False,False,5,5428,server
34,closure-compiler.csv,0.0,2.0,0.0,0.0,347,7.0,344.0,382,226.0,10.0,0.0,4.0,0.0,16.0,0.0,0.0,249,7.0,11.0,0.0,0.0,75,False,True,347,74632,server
35,closure-library.csv,3.0,46.0,0.0,8.0,1866,93.0,1866.0,9411,372.0,96.0,0.0,56.0,0.0,125.0,45.0,1.0,4092,12.0,0.0,0.0,0.0,63,False,True,1869,424337,client
36,clumsy-bird.csv,0.0,1.0,0.0,0.0,78,4.0,78.0,415,22.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,139,2.0,0.0,0.0,0.0,27,False,True,78,8242,client
37,co.csv,0.0,0.0,0.0,0.0,60,0.0,59.0,137,0.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,74,0.0,0.0,0.0,0.0,82,False,False,60,730,server
38,create-react-app.csv,0.0,1.0,13.0,0.0,50,7.0,47.0,265,14.0,2.0,0.0,7.0,0.0,6.0,2.0,0.0,103,2.0,0.0,0.0,0.0,28,True,False,50,3120,client
39,d3.csv,0.0,0.0,0.0,0.0,3,0.0,3.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,32,False,False,3,116,client
40,democracyos.csv,0.0,1.0,21.0,0.0,323,0.0,319.0,2582,12.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,805,3.0,0.0,0.0,0.0,2,True,False,323,12612,client
41,docco.csv,0.0,0.0,0.0,0.0,3,0.0,3.0,23,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,59,False,False,3,246,server
42,docsify.csv,0.0,0.0,0.0,0.0,37,1.0,37.0,140,7.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,64,1.0,0.0,0.0,0.0,32,False,False,37,7095,server
43,dragula.csv,0.0,0.0,0.0,0.0,22,4.0,22.0,318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,0.0,0.0,0.0,0.0,37,True,True,22,2772,client
44,dropzone.csv,0.0,4.0,0.0,0.0,77,10.0,77.0,537,22.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,129,0.0,0.0,0.0,0.0,78,True,False,77,5173,client
45,drywall.csv,0.0,0.0,3.0,0.0,228,0.0,228.0,2229,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576,0.0,0.0,0.0,0.0,55,True,True,228,8487,server
46,echarts.csv,0.0,10.0,2.0,0.0,588,67.0,588.0,6991,48.0,23.0,0.0,30.0,0.0,10.0,0.0,0.0,1973,19.0,0.0,0.0,0.0,75,False,True,588,318908,client
47,electron.csv,0.0,0.0,10.0,0.0,469,21.0,448.0,2070,70.0,5.0,0.0,14.0,0.0,4.0,1.0,0.0,907,1.0,0.0,0.0,0.0,13,True,False,470,27604,server
48,engine.csv,0.0,0.0,0.0,0.0,87,2.0,87.0,681,10.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,208,0.0,0.0,0.0,0.0,60,False,True,87,54638,client
49,eslint-plugin-react.csv,0.0,0.0,0.0,0.0,7,0.0,7.0,24,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,24,True,False,7,29567,client
50,eslint.csv,0.0,0.0,0.0,1.0,219,38.0,218.0,675,47.0,8.0,0.0,58.0,0.0,18.0,1.0,0.0,321,1.0,0.0,0.0,0.0,2,True,True,219,192391,server
51,express.csv,0.0,0.0,0.0,1.0,163,0.0,163.0,812,20.0,6.0,0.0,3.0,0.0,0.0,0.0,2.0,429,2.0,0.0,0.0,0.0,50,True,False,163,10774,server
52,expressjs.com.csv,0.0,1.0,0.0,0.0,23,0.0,23.0,160,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,55,0.0,0.0,0.0,0.0,57,False,False,23,695,server
53,fetch.csv,0.0,1.0,0.0,0.0,24,0.0,24.0,123,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,46,0.0,0.0,0.0,0.0,38,False,False,24,1941,client
54,fingerprintjs2.csv,0.0,0.0,1.0,0.0,68,10.0,68.0,128,23.0,14.0,0.0,1.0,0.0,8.0,5.0,0.0,80,0.0,0.0,0.0,0.0,52,True,True,68,6103,client
55,flowchart.js.csv,0.0,0.0,1.0,0.0,1,0.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,25,False,True,1,2969,server
56,forever.csv,0.0,0.0,0.0,0.0,58,4.0,54.0,283,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135,0.0,0.0,0.0,0.0,16,False,False,58,1592,server
57,framework.csv,0.0,0.0,0.0,0.0,9,0.0,7.0,16,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,22,True,True,9,3471,client
58,fullPage.js.csv,0.0,5.0,0.0,0.0,58,0.0,58.0,940,5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,253,0.0,0.0,0.0,0.0,80,False,True,58,10864,client
59,grunt.csv,0.0,0.0,3.0,0.0,34,0.0,34.0,102,8.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,63,2.0,0.0,0.0,0.0,34,True,True,34,3582,server
60,gulp.csv,0.0,0.0,0.0,0.0,7,0.0,7.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,42,True,False,7,362,server
61,handlebars.js.csv,0.0,0.0,0.0,0.0,71,1.0,71.0,433,4.0,6.0,0.0,19.0,0.0,0.0,0.0,0.0,165,10.0,0.0,0.0,0.0,0,False,True,71,11272,server
62,hapi.csv,0.0,0.0,0.0,0.0,51,1.0,50.0,195,12.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,95,1.0,0.0,0.0,0.0,17,True,False,51,24530,server
63,hexo.csv,0.0,0.0,0.0,0.0,153,0.0,151.0,312,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,201,0.0,0.0,0.0,0.0,72,True,False,153,19720,server
64,highcharts-ng.csv,0.0,0.0,0.0,0.0,6,6.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,56,True,True,6,1443,client
65,history.js.csv,0.0,54.0,0.0,34.0,2477,339.0,2476.0,24518,430.0,230.0,0.0,97.0,0.0,79.0,6.0,0.0,4347,75.0,0.0,0.0,0.0,65,False,True,2478,123451,client
66,homebridge.csv,0.0,0.0,0.0,2.0,6,0.0,6.0,20,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,18,1.0,0.0,0.0,0.0,96,False,False,6,1437,server
67,hospitalrun-frontend.csv,0.0,221.0,51.0,41.0,14454,254.0,14365.0,182462,890.0,804.0,0.0,225.0,3.0,196.0,68.0,0.0,28550,366.0,7.0,0.0,0.0,50,True,True,14454,203782,client
68,howler.js.csv,0.0,0.0,0.0,0.0,34,8.0,32.0,72,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,0.0,0.0,0.0,0.0,48,True,True,34,5041,client
69,http-server.csv,0.0,0.0,0.0,0.0,12,0.0,12.0,18,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,28,True,False,12,248,server
70,iD.csv,0.0,1.0,4.0,2.0,192,13.0,183.0,1411,53.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,424,0.0,0.0,0.0,0.0,31,False,True,192,63564,server
71,immutable-js.csv,0.0,0.0,1.0,0.0,21,3.0,21.0,45,3.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,23,1.0,0.0,0.0,0.0,66,False,False,21,6662,server
72,impress.js.csv,0.0,0.0,0.0,0.0,26,0.0,26.0,274,2.0,2.0,0.0,12.0,0.0,2.0,0.0,0.0,104,0.0,0.0,0.0,0.0,68,True,True,26,5248,client
73,intro.js.csv,0.0,1.0,0.0,0.0,85,28.0,85.0,410,21.0,5.0,0.0,2.0,0.0,6.0,0.0,0.0,155,0.0,0.0,0.0,0.0,58,False,True,85,10513,client
74,jQuery-File-Upload.csv,0.0,2.0,0.0,0.0,95,13.0,95.0,693,31.0,4.0,0.0,0.0,0.0,25.0,0.0,0.0,219,0.0,0.0,0.0,0.0,72,False,True,95,4287,client
75,javascript-state-machine.csv,0.0,0.0,0.0,0.0,10,0.0,10.0,359,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,6,True,True,10,8441,server
76,javascripting.csv,0.0,0.0,0.0,0.0,4,0.0,4.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,51,False,False,4,253,server
77,johnny-five.csv,0.0,0.0,3.0,0.0,25,0.0,24.0,257,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,0.0,0.0,0.0,0.0,93,True,False,25,56623,server
78,joi.csv,0.0,2.0,0.0,0.0,80,5.0,78.0,372,29.0,28.0,0.0,10.0,1.0,0.0,1.0,0.0,125,2.0,0.0,0.0,0.0,69,True,False,80,40168,client
79,jquery-modal.csv,0.0,0.0,0.0,0.0,5,0.0,5.0,27,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,55,False,False,5,1345,client
80,jsdoc.csv,0.0,6.0,8.0,4.0,180,6.0,180.0,872,28.0,12.0,0.0,10.0,0.0,6.0,10.0,0.0,396,2.0,0.0,0.0,0.0,74,True,True,90,22475,client
81,jsdoc.csv,0.0,6.0,8.0,4.0,180,6.0,180.0,872,28.0,12.0,0.0,10.0,0.0,6.0,10.0,0.0,396,2.0,0.0,0.0,0.0,90,True,True,90,22475,server
82,jsdom.csv,0.0,1.0,1.0,0.0,502,28.0,499.0,1042,39.0,5.0,0.0,7.0,0.0,9.0,7.0,0.0,629,0.0,0.0,0.0,0.0,1,True,False,503,58752,server
83,koa.csv,0.0,0.0,0.0,0.0,50,0.0,49.0,181,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,144,0.0,0.0,0.0,0.0,33,True,False,50,4106,server
84,kue.csv,0.0,0.0,3.0,0.0,82,0.0,82.0,673,12.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,204,0.0,0.0,0.0,0.0,61,False,False,82,3771,server
85,lazysizes.csv,0.0,1.0,1.0,0.0,80,7.0,80.0,574,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223,0.0,0.0,0.0,0.0,33,False,True,80,6460,client
86,lightbox.csv,0.0,0.0,0.0,0.0,6,0.0,6.0,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0,True,True,6,1359,client
87,list.js.csv,0.0,0.0,0.0,0.0,33,0.0,33.0,179,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,74,0.0,0.0,0.0,0.0,31,False,True,33,7577,client
88,lodash.csv,0.0,0.0,0.0,0.0,3,2.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,27,False,False,3,5181,server
